# R DS
1.057420635683519426e-02 3.378662639810129775e+01
1.363873519173811229e-02 1.824308770004008551e+01
1.759140037116024152e-02 2.418801297740071021e+01
2.268959420855356721e-02 1.626293487354303124e+01
2.926530432408507368e-02 1.629809181589899936e+01
3.774673223809543732e-02 1.236502336603129493e+01
4.868617728611359524e-02 1.081461793116926806e+01
6.279600161898633848e-02 6.768349611305647606e+00
8.099501828122505909e-02 6.111904054850393564e+00
1.044683230977003496e-01 2.874402505212263481e+00
1.347444665417815157e-01 3.800239417332333947e+00
1.737949909146091210e-01 3.823576803793540702e+00
2.241628145645833126e-01 2.963478270268494974e+00
2.891278233571451528e-01 2.827170371859865305e+00
3.729204524917136832e-01 3.436721307218525645e+00
4.809971668303907877e-01 3.224469988606462945e+00
6.203957786520267748e-01 3.161759781486424004e+00
8.001937406524780583e-01 2.814921656928359717e+00
1.032099257623331212e+00 2.661302436674097827e+00
