# Mpeak_bin(M_sun) mean_M*8 std_M*8 mean_M*9 std_M*9
9.525000000000000355e+00 3.415587706774731716e-04 6.104881515279075854e-04 3.685827249647616395e-06 3.184917925954161761e-05
9.575000000000001066e+00 3.623459063955543976e-04 6.321898475363994753e-04 5.122759658809541030e-06 3.427492677740016832e-05
9.625000000000001776e+00 4.134785202546289833e-04 6.707103915745705460e-04 1.334134972399288664e-05 4.560814187986824732e-05
9.675000000000002487e+00 6.006232633194477340e-04 7.609299207921056815e-04 1.278052560573535535e-05 4.710457819100845317e-05
9.725000000000003197e+00 1.702861574499442551e-03 1.612732536048804921e-03 5.913761412165487603e-05 1.023626890939761421e-04
9.775000000000003908e+00 4.213379423819702159e-03 3.421956155289874579e-03 1.586904829318573325e-04 1.872156150135598164e-04
9.825000000000004619e+00 1.265359111290795951e-02 9.570189255447688823e-03 3.396413654430361934e-04 4.301895235990606313e-04
9.875000000000005329e+00 1.701131986367852150e-02 1.236037212263451680e-02 4.795168994447641464e-04 5.748811872309103144e-04
9.925000000000006040e+00 4.636990903880098408e-02 3.269782368600329669e-02 1.255268128628349864e-03 1.360174232017800607e-03
9.975000000000006750e+00 5.417879723483921134e-02 3.621173798985678760e-02 1.681907453938585786e-03 1.646091223150077977e-03
1.002500000000000746e+01 1.083030560548301630e-01 6.782501375428111323e-02 3.388435263223325920e-03 3.358679529775215715e-03
1.007500000000000817e+01 1.389022951378050819e-01 8.022949844608377734e-02 5.042920864022843071e-03 4.638329047345717687e-03
1.012500000000000888e+01 1.635684352893292948e-01 8.775857499552693064e-02 6.559823786019693993e-03 5.708431982039477437e-03
1.017500000000000959e+01 2.543887005641701782e-01 1.247553606570563911e-01 1.152013272561720758e-02 9.468072978017027727e-03
1.022500000000001030e+01 3.314409593349850747e-01 1.452744048169944679e-01 1.735657191461729629e-02 1.293246935481063252e-02
1.027500000000001101e+01 3.714451800112549273e-01 1.440670459887415655e-01 2.181885153807324243e-02 1.565507380122129963e-02
1.032500000000001172e+01 5.098056484721908976e-01 1.671869128924339809e-01 3.470221135374153970e-02 2.280565706544570442e-02
1.037500000000001243e+01 6.136800162630801081e-01 1.627385960909512874e-01 4.867854745380480880e-02 2.898096571203592417e-02
1.042500000000001315e+01 7.230816475639050278e-01 1.447141183377245455e-01 6.502257124352285589e-02 3.599709806014030067e-02
