# R DS
1.057420635683519600e-02 3.558408399887878204e+01
1.363873519173811402e-02 3.945790943969987552e+01
1.759140037116024152e-02 2.768864232519665691e+01
2.268959420855356721e-02 1.304519737183333028e+01
2.926530432408508062e-02 1.067977846025482158e+01
3.774673223809544426e-02 6.147077955527453064e+00
4.868617728611360218e-02 6.779628587840167420e+00
6.279600161898635236e-02 1.365905257825255426e+01
8.099501828122505909e-02 4.413063447637016523e+00
1.044683230977003635e-01 2.546710540554845803e+00
1.347444665417815157e-01 2.750611692587601631e+00
1.737949909146091487e-01 2.678184358779721830e+00
2.241628145645833403e-01 1.879536771358885749e+00
2.891278233571451528e-01 2.172533954029490566e+00
3.729204524917137387e-01 2.666656397027073577e+00
4.809971668303908432e-01 2.101467041430737481e+00
6.203957786520268858e-01 1.981820857769408750e+00
8.001937406524781693e-01 1.998067263569311747e+00
1.032099257623331212e+00 2.337300342076768178e+00
