# R DS
1.057420635683519426e-02 1.231433366896384562e+01
1.363873519173811229e-02 2.532998265574548569e+01
1.759140037116024152e-02 8.392299753435636944e+00
2.268959420855356721e-02 9.365384921281023622e+00
2.926530432408507368e-02 9.083924085488598976e+00
3.774673223809543732e-02 1.061535218571214223e+01
4.868617728611359524e-02 8.914955345196004188e+00
6.279600161898633848e-02 4.925920929035937590e+00
8.099501828122505909e-02 5.853693352688940976e+00
1.044683230977003496e-01 1.917470315356049060e+00
1.347444665417815157e-01 2.417556849786667073e+00
1.737949909146091210e-01 3.017335917137401680e+00
2.241628145645833126e-01 2.784258830794688500e+00
2.891278233571451528e-01 3.231489127395880789e+00
3.729204524917136832e-01 2.781135216664753163e+00
4.809971668303907877e-01 2.913461126533563483e+00
6.203957786520267748e-01 2.834977792622156656e+00
8.001937406524780583e-01 2.660160419532805243e+00
1.032099257623331212e+00 2.644944115567290144e+00
