# R DS
1.057420635683519426e-02 6.459810528069043301e+01
1.363873519173811229e-02 2.376059470773983051e+01
1.759140037116024152e-02 2.989800753827439550e+01
2.268959420855356721e-02 9.267921228685926494e+00
2.926530432408507368e-02 2.769623702773964879e+01
3.774673223809543732e-02 1.069065261581894610e+01
4.868617728611359524e-02 1.254672553897198561e+01
6.279600161898633848e-02 1.806182638799799678e+00
8.099501828122505909e-02 6.944281499799659585e+00
1.044683230977003496e-01 4.201662800244018392e+00
1.347444665417815157e-01 1.218808446666201778e-01
1.737949909146091210e-01 4.722094292385490277e+00
2.241628145645833126e-01 3.036017384158362642e+00
2.891278233571451528e-01 2.496921850961589140e+00
3.729204524917136832e-01 3.117290079896257726e+00
4.809971668303907877e-01 2.914600983884836793e+00
6.203957786520267748e-01 2.807511277164938868e+00
8.001937406524780583e-01 1.774935448454010078e+00
1.032099257623331212e+00 2.465497112670898883e+00
