# R DS_M*8 DS_M*9
1.057420635683519426e-02 1.995003454679102717e+01 2.859439481830951735e+01
1.363873519173811229e-02 1.349450642024297231e+01 9.562653396643206349e+00
1.759140037116024152e-02 1.193506833898392294e+01 2.894773914666386005e+01
2.268959420855356721e-02 9.456540196721986646e+00 1.966246025126597630e+01
2.926530432408507368e-02 8.552464213727549946e+00 1.201841964478686897e+01
3.774673223809543732e-02 6.545348507893974599e+00 1.049255763602807789e+01
4.868617728611359524e-02 3.619386662907576824e+00 1.125377207420137005e+01
6.279600161898633848e-02 6.255527548738933241e+00 8.464081116899333068e+00
8.099501828122505909e-02 1.321330019516466781e+00 6.483068188093879414e+00
1.044683230977003496e-01 1.464029662615987881e+00 4.167216355463280841e+00
1.347444665417815157e-01 2.081156287262308169e+00 5.979318434066202670e+00
1.737949909146091210e-01 1.430174201305793424e+00 3.679428120158712456e+00
2.241628145645833126e-01 1.837124401637278304e+00 2.911786452688330584e+00
2.891278233571451528e-01 1.915219071510822380e+00 3.137563591255672524e+00
3.729204524917136832e-01 1.727963825869451409e+00 3.196047296379691538e+00
4.809971668303907877e-01 2.291212722253696210e+00 3.672566574872668355e+00
6.203957786520267748e-01 2.220804004836388401e+00 3.701455619738038383e+00
8.001937406524780583e-01 2.438060313398217271e+00 3.663089297015083456e+00
1.032099257623331212e+00 2.212425173979212456e+00 3.187548397767009600e+00
